line_sign_name,line_number,company_name,region_id
809U-21,35075,gato preto,8
6028-10,33979,transwolff,7
3729-10,33794,allibus,4
408A-10,766,ambiental transportes urbanos s.a.,4
8006-10,34024,santa brigida,1
938C-10,586,santa brigida,1
5108-10,1675,via sudeste,5
4001-10,34944,viacao metropole,3
971X-10,1695,sambaiba,2
342N-10,1003,pessego,4
7011-31,34722,transwolff,7
2007-10,33664,transuniao,3
5028-10,34402,via sudeste,5
7006-10,34763,transwolff,7
3206-10,2112,viacao metropole,3
8075-10,34812,transppass,8
374V-10,1647,allibus,4
4052-10,34913,transuniao,3
4709-10,33101,via sudeste,5
2707-10,919,transuniao,3
857R-10,1892,transppass,8
1757-10,33316,sambaiba,2
509M-10,1277,mobibrasil,6
2026-10,2269,sambaiba,2
3063-10,253,viacao metropole,3
5141-10,34393,via sudeste,5
675R-10,32877,viacao grajau,6
3027-10,33731,pessego,4
8018-10,34838,transppass,8
2678-10,383,viacao metropole,3
819A-10,33571,norte buss s.a.,1
271P-10,33472,sambaiba,2
4020-10,35298,pessego,4
6422-10,33129,gatusa,7
2719-10,932,allibus,4
3712-10,33777,pessego,4
2522-10,140,viacao metropole,3
7053-10,34655,transwolff,7
2123-10,33460,sambaiba,2
5024-10,33890,a2 transportes,6
2765-10,32913,viacao metropole,3
6035-21,34563,transwolff,7
609F-10,37,campo belo,7
6092-10,33945,transwolff,6
4311-10,2171,viacao metropole,3
6825-10,32782,campo belo,7
271M-10,684,sambaiba,2
6030-10,1142,transwolff,6
1016-10,33599,norte buss s.a.,2
3741-10,33809,pessego,4
524M-10,1631,movebuss,5
179X-10,680,spencer,2
2705-10,917,transuniao,3
775F-10,33564,transcap,8
4718-10,33104,via sudeste,5
5105-10,34419,via sudeste,5
9011-10,878,norte buss s.a.,1
3459-10,33170,viacao metropole,3
8025-10,34844,alfa rodobus,8
809T-10,35014,transppass,8
1756-10,33315,sambaiba,2
775F-31,2488,transcap,8
4111-10,33088,via sudeste,5
574R-10,34391,transuniao,5
3737-10,33805,allibus,4
3762-10,1053,allibus,4
3712-51,2505,pessego,4
4706-10,299,via sudeste,5
3901-10,1469,viacao metropole,3
3734-10,33802,allibus,4
6061-10,1150,transwolff,6
6080-10,33936,transwolff,6
5611-10,33366,mobibrasil,6
7001-10,1722,viacao metropole,7
6035-10,1213,transwolff,7
8199-10,33575,norte buss s.a.,1
172X-10,33629,norte buss s.a.,2
7054-10,41,transwolff,7
3795-10,33841,transuniao,3
2731-10,33714,upbus s.a.,3
407M-10,318,via sudeste,5
8029-10,2540,transcap,8
1759-10,553,sambaiba,2
407E-10,34983,express,4
8252-10,34016,transppass,8
477A-10,33114,via sudeste,5
263C-10,252,viacao metropole,3
4721-10,33105,via sudeste,5
9020-10,1434,norte buss s.a.,1
5759-31,1139,a2 transportes,6
3745-10,1044,allibus,4
5018-10,34260,a2 transportes,6
5034-31,1664,via sudeste,5
756A-10,793,transcap,8
7013-10,33543,transcap,8
2058-10,33027,viacao metropole,3
407W-10,2204,express,4
3722-10,33788,pessego,4
6016-10,84,transwolff,6
6836-10,32781,campo belo,7
3736-10,1036,pessego,4
4035-10,35328,viacao metropole,3
5022-10,33888,a2 transportes,6
189L-10,35218,santa brigida,1
971R-21,33383,sambaiba,2
2059-10,33028,viacao metropole,3
