line_sign_name,line_number,company_name,region_id
2733-10,948,ALLIBUS TRANSPORTES LTDA,4
3739-10,1039,Pessego,0
6035-10,1213,Transwolff,0
971M-10,612,SAMBAIBA,0
675A-10,34086,KBPX ADMINISTRACAO E PARTICIPACAO LTDA,7
6030-10,1142,Transwolff,0
312N-10,33758,EXPRESS,0
857A-10,34693,KBPX ADMINISTRACAO E PARTICIPACAO LTDA,7
9701-10,33337,SAMBAIBA TRANSPORTES URBANOS LTDA.,2
575A-10,34406,TRANSUNIAO TRANSPORTES S/A,5
8400-10,1265,SANTA BRIGIDA,0
407N-10,34937,EXPRESS,0
7013-10,33543,AUTO VIACAO TRANSCAP LTDA,8
3787-10,1612,PESSEGO TRANSPORTES LTDA,4
5032-10,1662,MOVEBUSS,0
407J-10,2198,EXPRESS,0
1025-10,35071,SPENCER TRANSPORTE RODOVIARIO LTDA,1
172X-10,861,NORTE BUSS TRANSPORTES S.A.,2
3737-10,1037,Allibus,0
938V-10,33581,NORTE BUSS TRANSPORTES S.A.,1
6052-31,1832,TRANSWOLFF TRANSPORTES E TURISMO LTDA,6
7006-51,1997,TRANSWOLFF TRANSPORTES E TURISMO LTDA,7
478P-10,33117,VIA SUDESTE TRANSPORTES S.A.,5
8007-10,34025,VIACAO SANTA BRIGIDA LTDA.,1
3026-10,33730,TRANSUNIAO,0
9004-10,871,Norte Buss S.A.,0
3738-10,33806,PESSEGO TRANSPORTES LTDA,4
148L-10,531,SAMBAIBA,0
2582-10,374,VIACAO METROPOLE PAULISTA S.A.,3
414P-10,1105,MOVEBUSS,0
7062-41,35039,TRANSWOLFF TRANSPORTES E TURISMO LTDA,7
6475-10,34085,KBPX,0
675G-10,106,VIACAO GRAJAU S.A.,6
6837-10,32774,AUTO VIACAO TRANSCAP LTDA,8
9006-10,33642,NORTE BUSS TRANSPORTES S.A.,1
6412-10,33538,AUTO VIACAO TRANSCAP LTDA,8
5106-10,1280,MOBIBRASIL,0
407H-10,34965,EXPRESS,0
847P-42,34192,VIACAO SANTA BRIGIDA LTDA.,1
8014-10,801,Norte Buss S.A.,0
7051-10,34653,TRANSWOLFF TRANSPORTES E TURISMO LTDA,7
4024-10,2158,EXPRESS,0
6074-10,1161,Transwolff,0
848L-10,33576,SPENCER TRANSPORTE RODOVIARIO LTDA,1
3768-10,33824,TRANSUNIAO TRANSPORTES S/A,3
414P-10,33873,MOVEBUSS Solucoes em Mobilidade Urbana Ltda,5
6046-10,1223,TRANSWOLFF TRANSPORTES E TURISMO LTDA,7
7005-51,34767,TRANSWOLFF TRANSPORTES E TURISMO LTDA,7
9005-10,872,Norte Buss S.A.,0
476G-41,33880,TRANSUNIAO TRANSPORTES S/A,5
6050-10,33993,TRANSWOLFF TRANSPORTES E TURISMO LTDA,6
756A-10,793,AUTO VIACAO TRANSCAP LTDA,8
